parcel1,parcel2,parcel_num,parcel_add
163D6 A008,,163D6 A008,163 BERLIN CT
172A4 D019A,,172A4 D019A,1637 E BROAD ST
172A4 D019B,,172A4 D019B,1641 E BROAD ST
172A3 B010,,172A3 B010,165 MULBERRY ST
172A3 A023,,172A3 A023,165 N PETER ST
184A3 B033,,184A3 B033,165 RACHEL WAY
182A5 A003,,182A5 A003,165 RIVER OAK WAY
241C3 A019,,241C3 A019,165 RUMSON RD
124B4 E003,,124B4 E003,167 HIGHLAND TER
163D4 E006,,163D4 E006,167 ODD ST
124C4 D010,,124C4 D010,167 PLUM NELLY RD
184A   041,,184A 041,167 WHITE CIR
172A3 F004A,,172A3 F004A,168 HERRING ST
163D4 D010,,163D4 D010,168 PEARL ST
181A2 E014,,181A2 E014,1684 MILLEDGE AVE
114C5 D402,,114C5 D402,1688 PRINCE AVE
173C1 D009,,173C1 D009,169 MILLEDGE HTS
172C2 G006,,172C2 G006,169 OLD WINTERVILLE RD
173C2 G024,,173C2 G024,169 RIVERDALE DR
172C2 B008,,172C2 B008,1695 E BROAD ST
173C2 E018,,173C2 E018,1695 S MILLEDGE AVE
114C4 A008,,114C4 A008,170 BOULEVARD HTS
071A  A019,,071A A019,170 HANOVER CIR
122B3 I015,,122B3 I015,170 MATHEWS AVE
173C1 G020,,173C1 G020,170 MILLEDGE TER
171A3 F007,,171A3 F007,170 N CHURCH ST
172A4 E020C,,172A4 E020C,170 N PETER ST
124B2 F024,,124B2 F024,170 OAKLAND AVE
174D1  018,,174D1 018,170 PARK RIDGE DR
062D2 B001,,062D2 B001,170 ROBERTS RD
121A3 H004,,121A3 H004,170 SHERWOOD DR
173A5 C004,,173A5 C004,170 WOODROW ST
074D  C006A,,074D C006A,1705 TIMOTHY RD
121D4 A009,,121D4 A009,171 BRIARCLIFF RD
044    006A,,044 006A,171 RED MAPLE DR
163C3 D026,,163C3 D026,172 GRADY AVE
111C5 C001,,111C5 C001,172 PUTTERS DR
182D2 D018,,182D2 D018,172 TALL PINE LN
171B4 A007,,171B4 A007,173 WILKERSON ST
171C3 B055,,171C3 B055,174 TALMADGE ST
173C4 G007,,173C4 G007,175 ANNES CT
233D4 C009,,233D4 C009,175 BROOMSEDGE TRL
101    008,,101 008,175 CLARKEWOODS RD
